,0
0,0.0076107928
1,0.009388369
2,0.0040525636
3,-0.012953442
4,0.012156446
5,0.0021811607
6,0.0010562417
7,0.016447099
8,-0.016549468
9,0.020557683
10,-0.0007653978
11,-0.0030556142
12,-0.019960567
13,0.019531338
14,0.0008445461
15,0.01663744
16,0.011201768
17,-0.009584709
18,0.02113437
19,0.0057519227
20,-0.007913348
21,-0.013143721
22,-0.009534101
23,-0.0014462438
24,-0.010966222
25,-0.020439718
26,-0.009952187
27,0.009559745
28,-0.0071680415
29,-0.020934926
30,-0.012211802
31,-0.0038835066
32,0.012684709
33,0.01935307
34,0.0039635017
35,0.005168358
36,-0.010742164
37,0.011454218
38,0.0092660375
39,-0.0038454097
40,0.0038595723
41,0.020580756
42,0.0067469226
43,-0.008997609
44,0.0034484908
45,0.016813915
46,0.014115256
47,-0.015842337
48,-0.019580813
49,0.013060502
50,0.011622389
51,-0.017271137
52,0.006639557
53,0.0016271863
54,-0.0031479867
55,0.013119072
56,0.014023532
57,0.0021750927
58,-0.010927122
59,-0.0063499687
60,-0.0034432143
61,0.013688055
62,-0.0026077395
63,0.013609324
64,-0.0028072994
65,-0.0042313044
66,-0.02391166
67,0.01768985
68,0.006652846
69,-0.002210732
70,0.008493507
71,0.0145682
72,-0.016097285
73,-0.009895964
74,0.0015881493
75,-0.008303059
76,-0.0072796387
77,0.0093823355
78,-0.012474501
79,0.00491909
80,0.0100765135
81,0.0062200734
82,-0.0019209647
83,0.005556822
84,0.007900318
85,-0.0012952406
86,0.002265383
87,0.018444737
88,0.007991641
89,0.0030416502
90,-0.0075889677
91,-0.00024320438
92,0.020451885
93,0.011253007
94,-0.0021414421
95,-0.00085138396
96,-0.007893802
97,-0.01098443
98,0.021224538
99,-0.009670607
100,0.002048003
101,-0.011715589
102,-0.011805757
103,0.012949927
104,0.008166263
105,0.008772379
106,-0.013949858
107,-0.012596529
108,-0.0140709635
109,-0.002839384
110,-0.011119498
111,-0.016731827
112,0.003097885
113,0.00485405
114,-0.0028748466
115,0.010580036
116,0.0032469237
117,0.007923896
118,-0.008956781
119,0.0030004927
120,0.01998413
121,0.014438148
122,-0.0064498875
123,0.008703863
124,0.01963245
125,0.0057892636
126,-0.015376601
127,-0.0045608734
