,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.17421064,3.220886e-05,0.0038960853,-0.056557775,0.023535185,0.04673231,0.0055360664,-0.09478356,-0.020584779,-0.12889211,-0.17460644,-0.10642982,-0.008394261,0.022842376,-0.08149769,-0.020574084,0.17714992,-0.0077330642
1,0.16895612,0.011222122,0.0042716735,-0.042014547,0.02135896,0.049729127,0.0060423072,-0.10926118,-0.013726447,-0.12088992,-0.1596624,-0.106099986,-0.011794921,0.006013306,-0.07727073,-0.021309383,0.16833162,-0.0057920143
2,0.16569199,0.017777132,0.0030085521,-0.032200098,0.021572199,0.05149842,0.0066901175,-0.11701652,-0.0089918645,-0.11866284,-0.15071917,-0.1069176,-0.012165654,-0.0039260983,-0.07491319,-0.021738688,0.16082318,-0.00410782
3,0.16407184,0.021214081,0.0022062403,-0.026872452,0.021994561,0.052362755,0.0070089805,-0.1209745,-0.0063531334,-0.11766532,-0.14587145,-0.10739608,-0.012164478,-0.009129753,-0.073594876,-0.021905247,0.15662032,-0.0029827193
4,0.1633335,0.022891251,0.0017036849,-0.02407843,0.022278005,0.052798856,0.0070986925,-0.123025715,-0.0048734634,-0.11726363,-0.14348571,-0.10761059,-0.012043926,-0.011674758,-0.07288402,-0.021995746,0.15447217,-0.0023489324
5,0.16298236,0.023706218,0.0014510648,-0.022658413,0.022411602,0.05301303,0.0071262377,-0.12407964,-0.0040835384,-0.1170989,-0.1423174,-0.10772185,-0.011896392,-0.012901439,-0.07250298,-0.022020545,0.15328407,-0.0020718763
6,0.16283166,0.024112733,0.0013111751,-0.021937573,0.022514388,0.053091988,0.007120705,-0.124581486,-0.0036975092,-0.11700004,-0.14172067,-0.10777616,-0.011809987,-0.013482959,-0.07231019,-0.02203865,0.15269518,-0.0019321983
7,0.16277342,0.02430529,0.001240934,-0.021564854,0.02257967,0.053133138,0.0071386197,-0.124835566,-0.0034967863,-0.11695355,-0.14143781,-0.107797526,-0.011754721,-0.0137654925,-0.07220672,-0.022051863,0.15240745,-0.0018547856
8,0.16276357,0.024406707,0.0011984403,-0.021367973,0.022608608,0.053165853,0.0071328096,-0.12497024,-0.0033893236,-0.11694968,-0.1413074,-0.10781244,-0.011707721,-0.013903331,-0.072160795,-0.022050265,0.1522551,-0.00182723
9,0.16275959,0.024454977,0.0011885765,-0.021279324,0.022632958,0.053170346,0.0071382825,-0.12502828,-0.0033391013,-0.11694481,-0.1412432,-0.10781469,-0.011689818,-0.013975829,-0.07213626,-0.02205489,0.15217401,-0.0018199941
10,0.16276313,0.02447118,0.0011762823,-0.021231681,0.022640688,0.05317205,0.0071361302,-0.12506786,-0.0033367595,-0.11694583,-0.14121582,-0.10782472,-0.0116790645,-0.014005937,-0.07212336,-0.022054788,0.15214352,-0.0018189823
11,0.16276264,0.024489371,0.0011743489,-0.021210305,0.022653028,0.053169552,0.0071414826,-0.12508848,-0.0033191245,-0.11693614,-0.14119627,-0.10782343,-0.011674392,-0.014023091,-0.07211917,-0.02205832,0.15213889,-0.0018140682
12,0.16275077,0.024492448,0.0011652543,-0.021193493,0.022654234,0.053167123,0.0071519343,-0.12509805,-0.0032901706,-0.11693055,-0.1411638,-0.10782192,-0.011679088,-0.01402569,-0.07211368,-0.022059089,0.15211603,-0.0018048398
13,0.16275316,0.024495624,0.001176958,-0.02118244,0.022655364,0.053162467,0.007148481,-0.1251069,-0.0032945587,-0.116929814,-0.14116496,-0.107822016,-0.011674071,-0.014026153,-0.07210821,-0.022056416,0.1521124,-0.0017976739
14,0.162761,0.024491828,0.001173978,-0.021190772,0.022652453,0.053163223,0.007146466,-0.12511133,-0.0033097907,-0.11692514,-0.14117509,-0.10783001,-0.011678953,-0.014034265,-0.072113015,-0.022054775,0.15212679,-0.0018038772
15,0.162751,0.024496788,0.0011623269,-0.021185152,0.022653718,0.05317042,0.007145793,-0.12510823,-0.0032850688,-0.116931275,-0.14115827,-0.10783382,-0.011667056,-0.014035155,-0.07211276,-0.022055883,0.15210985,-0.0017979167
16,0.16275446,0.024501452,0.0011651597,-0.021172319,0.022656115,0.053164426,0.0071374313,-0.12510812,-0.0032775295,-0.11692462,-0.14116165,-0.10782355,-0.011662447,-0.014027315,-0.07211253,-0.022060642,0.15210757,-0.0017999306
17,0.1627559,0.024499657,0.0011643006,-0.021179909,0.022649258,0.053162202,0.0071472693,-0.12510303,-0.00327647,-0.1169266,-0.1411657,-0.10782672,-0.01166174,-0.014032198,-0.07210279,-0.022063168,0.15210968,-0.0017946359
18,0.16276765,0.024494708,0.0011635518,-0.021172931,0.022655038,0.05315732,0.0071418867,-0.12510365,-0.0032875102,-0.11692737,-0.1411713,-0.10782605,-0.011666484,-0.0140227,-0.07210274,-0.022069586,0.15211502,-0.0018035211
19,0.1627598,0.024494633,0.0011651043,-0.021188388,0.022660783,0.053156897,0.0071395,-0.12509808,-0.0032936165,-0.11692619,-0.14116366,-0.10782762,-0.011666039,-0.014024207,-0.072104506,-0.022064738,0.15210032,-0.0018009939
20,0.16275817,0.024498284,0.001154114,-0.021195438,0.0226521,0.05316128,0.0071343156,-0.12510462,-0.0032949199,-0.11692989,-0.14117165,-0.1078317,-0.011660671,-0.014027543,-0.07210276,-0.02206729,0.15210435,-0.001808063
21,0.16275384,0.024498466,0.0011576402,-0.021185845,0.022653515,0.05316238,0.007131996,-0.12510157,-0.0032890318,-0.116922654,-0.14117175,-0.10782392,-0.01166499,-0.014028816,-0.072100654,-0.022071866,0.15210795,-0.0018089317
22,0.16275309,0.024495639,0.0011631129,-0.021180334,0.022651713,0.05315589,0.0071415207,-0.1251005,-0.003289784,-0.11692912,-0.1411676,-0.10782074,-0.011665542,-0.01402133,-0.07210299,-0.022068098,0.15209314,-0.0018017174
23,0.1627591,0.02449124,0.0011563483,-0.021177718,0.022644196,0.053168748,0.0071292715,-0.12510191,-0.0032891945,-0.116936564,-0.14118017,-0.10782732,-0.011661206,-0.014023938,-0.07210028,-0.022066627,0.1520954,-0.0018104548
24,0.1627542,0.02450079,0.0011512239,-0.02117869,0.02264655,0.053170312,0.007149831,-0.125102,-0.0032754203,-0.11693326,-0.14115918,-0.10783174,-0.011666984,-0.014031356,-0.072105676,-0.022059781,0.15211147,-0.0018029349
25,0.16276154,0.024497883,0.0011596561,-0.021160603,0.022647088,0.05317047,0.007146914,-0.12510142,-0.0032748587,-0.11693219,-0.1411613,-0.107824266,-0.011669449,-0.014029386,-0.07210938,-0.022058358,0.15210725,-0.0018053913
