,0
0,0.25650012
1,-0.34650478
2,-0.25001037
3,-0.37638158
4,-0.1899537
5,-0.16660659
6,-0.21654727
7,0.28275916
8,0.38831925
9,0.2417716
10,-0.18483856
11,0.27595386
12,0.18754657
13,-0.052156843
14,-0.13807723
15,-0.038668204
16,-0.039457526
17,0.3345121
18,-0.19267027
19,0.14692126
20,0.3528042
21,-0.17262064
22,-0.056226224
23,0.017854178
24,0.12150552
25,0.31535456
26,0.12253421
27,-0.08730111
28,-0.19344719
29,-0.4218739
30,0.15701264
31,0.0077277618
32,-0.12652579
33,0.32104126
34,-0.055725787
35,-0.29521894
36,0.050684344
37,-0.24376085
38,-0.01947548
39,0.115748286
40,-0.13079838
41,0.06925144
42,-0.2585981
43,-0.05155539
44,0.30302262
45,0.31532142
46,-0.049389448
47,0.3490746
48,-0.12511925
49,-0.3446
50,0.03765395
51,0.020656463
52,-0.18039338
53,0.11841869
54,0.31580362
55,-0.084909685
56,0.023845077
57,0.41299474
58,0.27647585
59,0.026373008
60,-0.13415521
61,0.33509216
62,-0.038805652
63,0.008352148
64,0.31937858
65,-0.07375033
66,0.2854879
67,-0.14010228
68,0.2002966
69,-0.060680453
70,0.14325112
71,-0.07450294
72,-0.11195045
73,0.20119663
74,-0.0062248865
75,-0.23203905
76,0.027391605
77,-0.111258626
78,-0.26113102
79,-0.073992394
80,-0.21715908
81,-0.009434057
82,-0.19598109
83,0.32177988
84,0.24854359
85,-0.19065312
86,0.09208351
87,-0.34990096
88,0.2988716
89,-0.16526446
90,0.0204471
91,0.15131441
92,-0.10102473
93,-0.10240634
94,-0.0143594155
95,-0.19244999
96,0.22139543
97,-0.08532741
98,0.3745332
99,-0.3088457
100,0.051020704
101,0.12969926
102,-0.21870968
103,-0.18181328
104,-0.117155746
105,-0.16197951
106,-0.24630003
107,0.05079363
108,0.014600611
109,-0.20167474
110,-0.3092558
111,0.22253954
112,0.36239263
113,-0.25571385
114,0.03654779
115,0.41279727
116,0.14654088
117,-0.08802381
118,-0.20187347
119,0.17356929
120,-0.05464251
121,-0.032271385
122,0.34946132
123,0.020845603
124,-0.10212291
125,-0.11925624
126,-0.26641166
127,-0.10463797
