,Timestamp,F_score,Accuracy,loss,batch_size,learning_rate,Training_DATASET,Continue_with_last_saved_model
16,2020-10-28 14:39:28.773727,0.47103389389868744,0.42828261103344445,307.7471,400,0.001,OPPORTUNITY - 18 classes,True
17,2020-10-28 14:39:55.015713,0.6476896620258074,0.6212495967308312,296.0383,400,0.001,OPPORTUNITY - 18 classes,True
18,2020-10-28 14:40:20.464045,0.46203562042927127,0.4147327669641897,306.05084,400,0.001,OPPORTUNITY - 18 classes,True
19,2020-10-28 14:40:46.291644,0.7083156692440852,0.7054091837832025,300.75128,400,0.001,OPPORTUNITY - 18 classes,True
20,2020-10-28 14:41:12.263048,0.08136004999066361,0.14982256156575977,307.05246,400,0.001,OPPORTUNITY - 18 classes,True
21,2020-10-28 14:41:38.083643,0.45361279762677,0.40750618346058715,304.11423,400,0.001,OPPORTUNITY - 18 classes,True
22,2020-10-28 14:42:03.829043,0.6832877873323556,0.6789762340036563,301.15414,400,0.001,OPPORTUNITY - 18 classes,True
23,2020-10-28 14:42:30.293499,0.4964507293489748,0.46215722120658137,296.15857,400,0.001,OPPORTUNITY - 18 classes,True
24,2020-10-28 14:42:56.385282,0.653532380621581,0.6234433810087107,299.80936,400,0.001,OPPORTUNITY - 18 classes,True
25,2020-10-28 14:43:22.748639,0.6564624860955326,0.6335519948381546,295.5099,400,0.001,OPPORTUNITY - 18 classes,True
26,2020-10-28 14:43:48.781837,0.6833877494392689,0.6587590063447682,290.3223,400,0.001,OPPORTUNITY - 18 classes,True
27,2020-10-28 14:44:14.651761,0.6826416637330597,0.6592751908807398,288.65793,400,0.001,OPPORTUNITY - 18 classes,True
28,2020-10-28 14:44:40.683237,0.7062620598577579,0.6957737391117325,289.1828,400,0.001,OPPORTUNITY - 18 classes,True
29,2020-10-28 14:45:06.824858,0.6476697858103435,0.6034197225508119,293.1264,400,0.001,OPPORTUNITY - 18 classes,True
30,2020-10-28 14:45:32.867277,0.5959983266677701,0.5660608667598667,295.09656,400,0.001,OPPORTUNITY - 18 classes,True
31,2020-10-28 14:45:58.753092,0.6602537692254512,0.6136358748252501,293.84116,400,0.001,OPPORTUNITY - 18 classes,True
